Periodo,Unidades_Reales,Unidades_Ajustadas,Residuo
2003-01-01,26.0,35.29635661160875,-9.29635661160875
2003-02-01,11.0,25.6296676775661,-14.6296676775661
2003-03-01,42.0,29.629692588140692,12.370307411859308
2003-04-01,20.0,18.963012266767898,1.0369877332321025
2003-05-01,44.0,32.296333204627985,11.703666795372015
2003-06-01,18.0,14.314801296544772,3.685198703455228
2003-07-01,31.0,34.31435716236052,-3.3143571623605226
2003-08-01,18.0,42.81487982400405,-24.814879824004052
2003-09-01,55.0,45.31470550171183,9.685294498288172
2003-10-01,88.0,83.81491982133163,4.185080178668372
2003-11-01,180.0,169.31489604460432,10.685103955395675
2003-12-01,49.0,44.81495760093838,4.185042399061622
2004-01-01,54.0,46.66670572152548,7.3332942784745185
2004-02-01,40.0,37.000017035283946,2.999982964716054
2004-03-01,35.0,41.000042208560814,-6.000042208560814
2004-04-01,42.0,30.333361613448474,11.666638386551526
2004-05-01,21.0,43.666682709702705,-22.666682709702705
2004-06-01,22.0,25.685150289461376,-3.685150289461376
2004-07-01,49.0,45.68470604545036,3.315293954549638
2004-08-01,79.0,54.18522880588339,24.81477119411661
2004-09-01,47.0,56.6850552231306,-9.685055223130597
2004-10-01,91.0,95.1852692541097,-4.1852692541096985
2004-11-01,170.0,180.68524535265448,-10.685245352654476
2004-12-01,52.0,56.185306590545515,-4.185306590545515
2005-01-01,60.0,58.03705458640471,1.9629454135952926
2005-02-01,60.0,48.37036582013873,11.62963417986127
2005-03-01,46.0,52.37039112200743,-6.370391122007433
2005-04-01,29.0,41.70371052137648,-12.703710521376479
2005-05-01,66.0,55.0370312544842,10.962968745515802
