Periodo,Unidades_Pronosticadas,Limite_Inferior,Limite_Superior
2005-06-01,35.897807099596164,24.016551276355894,48.83529572589385
2005-07-01,58.085644751398185,46.497497007230294,70.71701897620663
2005-08-01,73.3670739573169,60.78687438980901,85.6569871156684
2005-09-01,64.36354208474016,52.24275008744258,77.10527371824654
2005-10-01,105.27712518793501,92.60888175131043,118.50036053636924
2005-11-01,189.18320783320354,177.65955755620354,201.93018774277655
2005-12-01,67.26416637175488,54.720325057221025,79.2614160508155
2006-01-01,70.61708591077729,57.76390516050907,82.96736436481304
2006-02-01,64.44880371966389,52.59092053243196,76.77254690201687
2006-03-01,66.13502161291848,54.34371119871435,78.50841634299681
2006-04-01,50.405006950588586,38.73678860257896,63.90130216563508
2006-05-01,72.32410168405853,59.262401079306855,84.7490147627358
