Periodo,Unidades_Reales,Unidades_Ajustadas,Residuo
2003-01-01,26.0,26.0,0.0
2003-02-01,11.0,23.996004177857085,-12.996004177857085
2003-03-01,42.0,13.314515299100863,28.68548470089914
2003-04-01,20.0,37.21630018034521,-17.216300180345208
2003-05-01,44.0,23.3943427388175,20.6056572611825
2003-06-01,18.0,40.296766456692296,-22.296766456692296
2003-07-01,31.0,22.011831855578475,8.988168144421525
2003-08-01,18.0,28.99445612985311,-10.99445612985311
2003-09-01,55.0,20.00588941665441,34.99411058334559
2003-10-01,88.0,49.29029248593358,38.70970751406642
2003-11-01,180.0,82.90626664126172,97.09373335873828
2003-12-01,49.0,165.80115309579693,-116.80115309579693
2004-01-01,54.0,80.23404346485313,-26.23404346485313
2004-02-01,40.0,42.17414943272921,-2.174149432729209
2004-03-01,35.0,64.74168910873843,-29.741689108738427
2004-04-01,42.0,37.091648939573275,4.908351060426725
2004-05-01,21.0,53.87017212506578,-32.87017212506578
2004-06-01,22.0,31.33401670199844,-9.33401670199844
2004-07-01,49.0,36.38898314123248,12.61101685876752
2004-08-01,79.0,25.6797462363971,53.3202537636029
2004-09-01,47.0,56.23546406029578,-9.235464060295783
2004-10-01,91.0,90.5066335255234,0.493366474476602
2004-11-01,170.0,160.2106108498139,9.78938915018611
2004-12-01,52.0,57.04527432885071,-5.045274328850709
2005-01-01,60.0,62.7905194066405,-2.790519406640499
2005-02-01,60.0,43.69740836599402,16.302591634005978
2005-03-01,46.0,56.194144704023536,-10.194144704023536
2005-04-01,29.0,51.66488969786725,-22.664889697867252
2005-05-01,66.0,53.43029694988564,12.569703050114363
